model,train_pct,class_name,alpha,beta,gamma,r2
power_shared,100,EW,99.9999999999998,1.5987075131719244,1.4914897921498071,0.9664976244942404
power_shared,100,EA,92.17027197002626,1.5987075131719244,1.4914897921498071,0.9664976244942404
power_shared,100,RRab,95.00046546566368,1.5987075131719244,1.4914897921498071,0.9664976244942404
power_shared,100,RRc,91.21496464884866,1.5987075131719244,1.4914897921498071,0.9664976244942404
power_shared,100,RRd,38.15712261509016,1.5987075131719244,1.4914897921498071,0.9664976244942404
power_shared,100,RS_CVn,59.77486376477251,1.5987075131719244,1.4914897921498071,0.9664976244942404
power_shared,100,LPV,94.83049082699112,1.5987075131719244,1.4914897921498071,0.9664976244942404
power_shared,50,EW,99.55028090285063,1.2531895016989925,1.5155991099989765,0.9764330133203456
power_shared,50,EA,91.41254645462547,1.2531895016989925,1.5155991099989765,0.9764330133203456
power_shared,50,RRab,94.67523662034678,1.2531895016989925,1.5155991099989765,0.9764330133203456
power_shared,50,RRc,91.25778789026833,1.2531895016989925,1.5155991099989765,0.9764330133203456
power_shared,50,RRd,36.539700058537,1.2531895016989925,1.5155991099989765,0.9764330133203456
power_shared,50,RS_CVn,65.19186474536151,1.2531895016989925,1.5155991099989765,0.9764330133203456
power_shared,50,LPV,93.11148286916351,1.2531895016989925,1.5155991099989765,0.9764330133203456
power_shared,25,EW,99.6709032889937,2.1881140089585176,0.9957494982556233,0.9834829692958225
power_shared,25,EA,91.01351154462851,2.1881140089585176,0.9957494982556233,0.9834829692958225
power_shared,25,RRab,93.97732975454947,2.1881140089585176,0.9957494982556233,0.9834829692958225
power_shared,25,RRc,91.78933424256451,2.1881140089585176,0.9957494982556233,0.9834829692958225
power_shared,25,RRd,35.26185174070815,2.1881140089585176,0.9957494982556233,0.9834829692958225
power_shared,25,RS_CVn,68.0594380006225,2.1881140089585176,0.9957494982556233,0.9834829692958225
power_shared,25,LPV,93.52685498152556,2.1881140089585176,0.9957494982556233,0.9834829692958225
power_class_beta,100,EW,95.56020504911265,0.5083198021845814,1.1944088439780802,0.9997923902394782
power_class_beta,100,EA,88.64724069550232,0.9576244478355642,1.1944088439780802,0.9997923902394782
power_class_beta,100,RRab,93.35632236639692,1.6187554849165902,1.1944088439780802,0.9997923902394782
power_class_beta,100,RRc,89.42353304938044,1.5669285585933357,1.1944088439780802,0.9997923902394782
power_class_beta,100,RRd,48.09515863871977,5.694217875444686,1.1944088439780802,0.9997923902394782
power_class_beta,100,RS_CVn,72.8872709014707,6.81119508059422,1.1944088439780802,0.9997923902394782
power_class_beta,100,LPV,93.09801164993007,1.5876723562160162,1.1944088439780802,0.9997923902394782
power_class_beta,50,EW,95.38523456746363,0.18823722407154503,1.634012418947894,0.9998181249986394
power_class_beta,50,EA,88.03264006410696,0.35970240985046664,1.634012418947894,0.9998181249986394
power_class_beta,50,RRab,91.61332561017687,0.42914880259637,1.634012418947894,0.9998181249986394
power_class_beta,50,RRc,88.77184937701318,0.5549343161545616,1.634012418947894,0.9998181249986394
power_class_beta,50,RRd,43.86589657914949,2.6977874051262645,1.634012418947894,0.9998181249986394
power_class_beta,50,RS_CVn,69.82361270318764,2.109352023524372,1.634012418947894,0.9998181249986394
power_class_beta,50,LPV,92.27846872374201,0.9159132545620662,1.634012418947894,0.9998181249986394
power_class_beta,25,EW,95.24659959386248,0.22207405034844435,1.2371288769369784,0.9997781557225194
power_class_beta,25,EA,87.38699995203851,0.4905672915310152,1.2371288769369784,0.9997781557225194
power_class_beta,25,RRab,90.96374471173472,0.6968448863195857,1.2371288769369784,0.9997781557225194
power_class_beta,25,RRc,88.53868245797555,0.6170611710965247,1.2371288769369784,0.9997781557225194
power_class_beta,25,RRd,44.22022805204701,4.725953093336158,1.2371288769369784,0.9997781557225194
power_class_beta,25,RS_CVn,68.2816847951162,1.7858491207867424,1.2371288769369784,0.9997781557225194
power_class_beta,25,LPV,92.52581535482662,1.374157735215808,1.2371288769369784,0.9997781557225194
exponential,100,EW,99.53506939441681,35.04487434492001,4.34767316229714,0.9666671325457841
exponential,100,EA,91.34521265763968,35.04487434492001,4.34767316229714,0.9666671325457841
exponential,100,RRab,94.17540615327611,35.04487434492001,4.34767316229714,0.9666671325457841
exponential,100,RRc,90.38990533646313,35.04487434492001,4.34767316229714,0.9666671325457841
exponential,100,RRd,37.33206330271054,35.04487434492001,4.34767316229714,0.9666671325457841
exponential,100,RS_CVn,58.94980445665888,35.04487434492001,4.34767316229714,0.9666671325457841
exponential,100,LPV,94.00543151460363,35.04487434492001,4.34767316229714,0.9666671325457841
exponential,50,EW,98.48685984806383,33.45501205268398,5.172149736106031,0.9764330133203455
exponential,50,EA,90.34912539982615,33.45501205268398,5.172149736106031,0.9764330133203455
exponential,50,RRab,93.61181556554823,33.45501205268398,5.172149736106031,0.9764330133203455
exponential,50,RRc,90.194366835469,33.45501205268398,5.172149736106031,0.9764330133203455
exponential,50,RRd,35.47627900373729,33.45501205268398,5.172149736106031,0.9764330133203455
exponential,50,RS_CVn,64.12844369056191,33.45501205268398,5.172149736106031,0.9764330133203455
exponential,50,LPV,92.04806181436416,33.45501205268398,5.172149736106031,0.9764330133203455
exponential,25,EW,97.8211084204259,18.674526980317616,4.010922944938664,0.9834829692958222
exponential,25,EA,89.16371667606076,18.674526980317616,4.010922944938664,0.9834829692958222
exponential,25,RRab,92.12753488598239,18.674526980317616,4.010922944938664,0.9834829692958222
exponential,25,RRc,89.93953937529555,18.674526980317616,4.010922944938664,0.9834829692958222
exponential,25,RRd,33.41205687214232,18.674526980317616,4.010922944938664,0.9834829692958222
exponential,25,RS_CVn,66.20964313205498,18.674526980317616,4.010922944938664,0.9834829692958222
exponential,25,LPV,91.67706011387622,18.674526980317616,4.010922944938664,0.9834829692958222
