truncation_pct,band,n_points_mean,n_points_std,n_points_count,baseline_days_mean,baseline_days_std,baseline_days_count
100,g,383.3680947150006,320.60353056852955,40965,1465.1791310989565,281.16162367221693,40965
100,i,94.19729382821693,83.95345270917717,18698,1010.1259586453597,191.33118847330843,18695
100,r,538.767606493348,395.1275654577799,40965,1455.8448055705594,299.04712754819076,40962
100,all,392.8984974361013,363.3027852549815,100628,1376.832927472372,325.72062966554114,100622
50,g,207.8939582570487,230.71575410735974,40965,707.0849792353731,161.9686641387868,40935
50,i,38.59086533319071,24.34951373465773,18698,432.92605527216887,119.66312833357325,17705
50,r,304.3754180397901,275.0086339510325,40965,704.827137564551,174.0712146395765,40956
50,all,215.71219740032595,248.23872694605626,100628,657.4197726784961,191.53407185906036,99596
25,g,104.58979616746002,139.02322159948102,40965,350.1176104527179,85.56927358654119,40914
25,i,17.97427532356402,12.403277790493798,18698,113.40500787905826,51.02094523592472,17372
25,r,134.58901501281582,148.0611584570412,40965,350.5037742601698,89.73456609804423,40930
25,all,100.70798386135071,136.25830337472834,100628,308.8302611615692,122.07962722954862,99216
