,precision_mean,precision_std,recall_mean,recall_std,f1-score_mean,f1-score_std,support_mean,support_std
EW,0.8636659663578685,0.11953293976554001,0.36775617226656787,0.20021841848209307,0.4865228767648328,0.21389314259193087,5387.0,0.0
EA,0.6661558884237668,0.15254162960823603,0.7993445532435771,0.17500256274042925,0.7126277771871683,0.1368648836484212,817.0,0.0
RRab,0.4517813904063736,0.2270980990785009,0.6036851385390406,0.24574801513543193,0.49018673518437306,0.21474953949070655,397.0,0.0
RRc,0.24478415672637652,0.1444965632918739,0.4462219222462205,0.2825299873749056,0.2829932043166174,0.15310453885279898,926.0,0.0
RRd,0.06085760737240952,0.06542063938731107,0.3370180722891564,0.14657295937945475,0.08971528364702715,0.07274444828912864,83.0,0.0
RS_CVn,0.17366705227236337,0.09078898233180092,0.49835326086956494,0.2267423590255476,0.2415418792012871,0.10938797238240047,276.0,0.0
LPV,0.6026577746146569,0.2384006650639775,0.8357142857142956,0.1882849555588444,0.6758541867728292,0.2238144509995094,70.0,0.0
accuracy,,,,,0.4413083836098542,0.13600550732771932,,
macro avg,0.43765283373911523,0.060404488602018316,0.5554419150240589,0.0765635963457848,0.4256345632963045,0.07207323577257134,7956.0,0.0
weighted avg,0.7161908741571285,0.08988304609213525,0.4413083836098542,0.13600550732771932,0.47526309608293305,0.15291622632395163,7956.0,0.0
