,precision_mean,precision_std,recall_mean,recall_std,f1-score_mean,f1-score_std,support_mean,support_std
EW,0.9707760597783686,0.004635523708416717,0.7671524039354001,0.024089599540918907,0.8567926469106728,0.014326442753660715,5387.0,0.0
EA,0.7362824399160272,0.0301826535675046,0.8996940024479805,0.017177231931378455,0.8092184704815741,0.014922179960060086,817.0,0.0
RRab,0.7008362373888449,0.0611315976904894,0.8335012594458439,0.026668152369536957,0.7605303459737616,0.0457644512246362,397.0,0.0
RRc,0.6271991543164619,0.05374264078130666,0.6476241900647948,0.041458135132743705,0.6356531744485314,0.03722574247961519,926.0,0.0
RRd,0.12113716768480032,0.018323708687380834,0.6813253012048193,0.04301643526612579,0.20531099943814285,0.027659126645724452,83.0,0.0
RS_CVn,0.32477906002838364,0.045839190083613535,0.7836956521739131,0.0372166886700571,0.4570496858537562,0.045869135262623234,276.0,0.0
LPV,0.6114813089060996,0.0748228746407367,0.902857142857143,0.030505937862946607,0.7257999342331047,0.04839764542927867,70.0,0.0
accuracy,,,,,0.7710344394167925,0.01655995546615903,,
macro avg,0.5846416325741408,0.01353796620735043,0.7879785645899849,0.012476669855230459,0.6357650367627918,0.011978093934059821,7956.0,0.0
weighted avg,0.8588020220823251,0.008367923911583435,0.7710344394167925,0.01655995546615903,0.7995489426630823,0.01445529628793785,7956.0,0.0
