,precision_mean,precision_std,recall_mean,recall_std,f1-score_mean,f1-score_std,support_mean,support_std
EW,0.9647703616307656,0.008411931937966988,0.7003434193428627,0.05442170498105823,0.8103689807034946,0.03731955194005217,5387.0,0.0
EA,0.7090645291664189,0.059088178482009146,0.9063157894736841,0.036658218612918514,0.7933225572578819,0.03586224366608579,817.0,0.0
RRab,0.6943759277842139,0.09790127930993242,0.789748110831234,0.04998899687952398,0.7343649150835536,0.06302092769127289,397.0,0.0
RRc,0.5287032820681161,0.10561525381300652,0.6021598272138228,0.06854823393981124,0.5567824275890585,0.07185540430759668,926.0,0.0
RRd,0.1054503970890919,0.034942065684258096,0.6578313253012047,0.06889628171323275,0.1796443904525586,0.051458140449708784,83.0,0.0
RS_CVn,0.28807066458594993,0.06029890988363949,0.7531521739130435,0.05045907450556335,0.4125853642788248,0.06118714931084814,276.0,0.0
LPV,0.6103373712226716,0.14285581707933262,0.9009999999999991,0.04381105069802944,0.7160116717657172,0.10043611988822944,70.0,0.0
accuracy,,,,,0.7176822523881345,0.03829218177682185,,
macro avg,0.5572532190781755,0.028648511007520992,0.7586500922965503,0.017982387577441736,0.6004400438758699,0.026296828563567336,7956.0,0.0
weighted avg,0.8387070944355217,0.014470824505010202,0.7176822523881345,0.03829218177682185,0.7541013687201069,0.03207937717857295,7956.0,0.0
